Round0,Round1,Round2,Round3,Round4,Round5,Round6,Round7,Round8,Round9,Round10,Round11,Round12,Round13,Round14,Round15,Round16,Round17,Round18,Round19
A,Four,Six,Roberta,Near,We,I,If,Cooks,Peter,Nine,Brad's,She,A,I,Fred,A,Six,You,A
big,fine,slippery,ran,an,surely,saw,two,cook,Piper,nice,big,sells,proper,wish,fed,good,sick,know,skunk
bug,fresh,snails,rings,"ear,",shall,Susie,witches,cupcakes,picked,night,black,seashells,cup,to,Ted,cook,hicks,New,sat
bit,fish,slid,around,a,see,sitting,would,quickly.,a,nurses,bath,by,of,wash,"bread,",could,nick,"York,",on
the,for,slowly,the,nearer,the,in,watch,,peck,nursing,brush,the,coffee,my,and,cook,six,you,a
little,you.,seaward.,Roman,"ear,",sun,a,two,,of,nicely.,broke.,seashore.,from,Irish,Ted,as,slick,need,stump
beetle,,,ruins.,a,shine,shoeshine,"watches,",,pickled,,,,a,wristwatch.,fed,much,bricks,New,and
but,,,,nearly,soon.,shop.,which,,peppers.,,,,proper,,Fred,cookies,with,"York,",thunk
the,,,,eerie,,,witch,,,,,,copper,,bread.,as,picks,you,the
little,,,,ear.,,,would,,,,,,coffee,,,a,and,know,stump
beetle,,,,,,,watch,,,,,,pot.,,,good,sticks.,you,stunk.
bit,,,,,,,which,,,,,,,,,cook,,need,
the,,,,,,,watch?,,,,,,,,,who,,unique,
big,,,,,,,,,,,,,,,,could,,New,
bug,,,,,,,,,,,,,,,,cook,,York.,
back.,,,,,,,,,,,,,,,,cookies.,,,
